target_accession,target_protein_name,target_length,pdb_id,chain_desc,pdb_length,identity_pct,alignment_score
M1LBP0,Entry-fusion complex associated protein OPG095,250,8ZU9,8ZU9_3|Chain C[auth E]|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244),187,99.45,180.0
M1LBP0,Entry-fusion complex associated protein OPG095,250,8ZUA,"8ZUA_2|Chains B[auth C], E[auth F], H, K|Entry-fusion complex associated protein OPG095|Monkeypox virus (10244)",187,99.45,180.0
M1LBP0,Entry-fusion complex associated protein OPG095,250,2I9L,"2I9L_3|Chains I, J, K, L|Virion membrane protein M25|Vaccinia virus (10245)",184,98.91,182.0
M1LBP0,Entry-fusion complex associated protein OPG095,250,4U6H,"4U6H_3|Chains E, F[auth J]|Protein L1|Vaccinia virus (10254)",184,98.91,182.0
Q8V4Y0,Cell surface-binding protein OPG105,304,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",269,94.23,245.0
A0A7H0DND2,Protein OPG161,181,9MSN,"9MSN_3|Chains C[auth E], D[auth F], G[auth J], H[auth K]|Protein OPG161|Monkeypox virus (10244)",100,100.0,92.0
A0A7H0DND2,Protein OPG161,181,9UDQ,"9UDQ_1|Chains A[auth B], D[auth J]|Protein OPG161|Monkeypox virus (10244)",124,100.0,124.0
A0A7H0DND2,Protein OPG161,181,9UE0,"9UE0_3|Chains C, D|Protein OPG161|Monkeypox virus (10244)",124,100.0,124.0
A0A7H0DND2,Protein OPG161,181,9UE8,"9UE8_3|Chains C, D, G, H, K, L, O, P, S, T, W, X|Protein OPG161|Monkeypox virus (10244)",152,100.0,124.0
A0A7H0DND2,Protein OPG161,181,9MSP,"9MSP_1|Chains A, B, E, F|Protein OPG161|Monkeypox virus (10244)",100,100.0,92.0
A0A7H0DND2,Protein OPG161,181,9MSO,"9MSO_3|Chains C[auth E], D[auth F], G, H[auth I]|Protein OPG161|Monkeypox virus (10244)",100,100.0,92.0
A0A7H0DN92,Cell surface-binding protein OPG105,304,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",269,94.62,246.0
A0A7H0DNC4,Envelop protein OPG153,509,9OG1,9OG1_1|Chain A|A28L|Monkeypox virus (10244),416,98.91,362.0
A0A7H0DNC4,Envelop protein OPG153,509,9OG2,9OG2_1|Chain A|A28L|Monkeypox virus (10244),416,98.91,362.0
A0A0F6N859,Cell surface-binding protein OPG105,304,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",269,94.62,246.0
A0A2L0AQY3,Cell surface-binding protein OPG105,304,4ETQ,"4ETQ_3|Chains E[auth C], F[auth X]|IMV membrane protein|Vaccinia virus (10245)",269,94.59,245.0
A0A2L0AR15,Protein OPG161,181,9MSN,"9MSN_3|Chains C[auth E], D[auth F], G[auth J], H[auth K]|Protein OPG161|Monkeypox virus (10244)",100,100.0,92.0
A0A2L0AR15,Protein OPG161,181,9UDQ,"9UDQ_1|Chains A[auth B], D[auth J]|Protein OPG161|Monkeypox virus (10244)",124,100.0,124.0
A0A2L0AR15,Protein OPG161,181,9UE0,"9UE0_3|Chains C, D|Protein OPG161|Monkeypox virus (10244)",124,100.0,124.0
A0A2L0AR15,Protein OPG161,181,9UE8,"9UE8_3|Chains C, D, G, H, K, L, O, P, S, T, W, X|Protein OPG161|Monkeypox virus (10244)",152,100.0,124.0
A0A2L0AR15,Protein OPG161,181,9MSP,"9MSP_1|Chains A, B, E, F|Protein OPG161|Monkeypox virus (10244)",100,100.0,92.0
A0A2L0AR15,Protein OPG161,181,9MSO,"9MSO_3|Chains C[auth E], D[auth F], G, H[auth I]|Protein OPG161|Monkeypox virus (10244)",100,100.0,92.0
A0A650BUB2,Protein OPG161,180,9MSN,"9MSN_3|Chains C[auth E], D[auth F], G[auth J], H[auth K]|Protein OPG161|Monkeypox virus (10244)",100,100.0,92.0
A0A650BUB2,Protein OPG161,180,9UDQ,"9UDQ_1|Chains A[auth B], D[auth J]|Protein OPG161|Monkeypox virus (10244)",124,100.0,124.0
A0A650BUB2,Protein OPG161,180,9UE0,"9UE0_3|Chains C, D|Protein OPG161|Monkeypox virus (10244)",124,100.0,124.0
A0A650BUB2,Protein OPG161,180,9UE8,"9UE8_3|Chains C, D, G, H, K, L, O, P, S, T, W, X|Protein OPG161|Monkeypox virus (10244)",152,100.0,124.0
A0A650BUB2,Protein OPG161,180,9MSP,"9MSP_1|Chains A, B, E, F|Protein OPG161|Monkeypox virus (10244)",100,100.0,92.0
