target_taxonomy_id,parent_taxonomy_id,target_protein_uniprot_id,target_protein_name,target_protein_length,target_organism,support_pdb_id,support_pdb_chain_description,identity_pct,alignment_score
10244,10240,A0A7H0DND2,Protein OPG161,181,Monkeypox virus,9MSN;9MSO;9MSP;9UDQ;9UE0;9UE8,"9MSN_3|Chains C[auth E], D[auth F], G[auth J], H[auth K]|Protein OPG161|Monkeypox virus (10244);9MSO_3|Chains C[auth E], D[auth F], G, H[auth I]|Protein OPG161|Monkeypox virus (10244);9MSP_1|Chains A, B, E, F|Protein OPG161|Monkeypox virus (10244);9UDQ_1|Chains A[auth B], D[auth J]|Protein OPG161|Monkeypox virus (10244);9UE0_3|Chains C, D|Protein OPG161|Monkeypox virus (10244);9UE8_3|Chains C, D, G, H, K, L, O, P, S, T, W, X|Protein OPG161|Monkeypox virus (10244)",100.0,124.0
10244,10240,A0A2L0AR15,Protein OPG161,181,Monkeypox virus,9MSN;9MSO;9MSP;9UDQ;9UE0;9UE8,"9MSN_3|Chains C[auth E], D[auth F], G[auth J], H[auth K]|Protein OPG161|Monkeypox virus (10244);9MSO_3|Chains C[auth E], D[auth F], G, H[auth I]|Protein OPG161|Monkeypox virus (10244);9MSP_1|Chains A, B, E, F|Protein OPG161|Monkeypox virus (10244);9UDQ_1|Chains A[auth B], D[auth J]|Protein OPG161|Monkeypox virus (10244);9UE0_3|Chains C, D|Protein OPG161|Monkeypox virus (10244);9UE8_3|Chains C, D, G, H, K, L, O, P, S, T, W, X|Protein OPG161|Monkeypox virus (10244)",100.0,124.0
10244,10240,A0A650BUB2,Protein OPG161,180,Monkeypox virus,9MSN;9MSO;9MSP;9UDQ;9UE0;9UE8,"9MSN_3|Chains C[auth E], D[auth F], G[auth J], H[auth K]|Protein OPG161|Monkeypox virus (10244);9MSO_3|Chains C[auth E], D[auth F], G, H[auth I]|Protein OPG161|Monkeypox virus (10244);9MSP_1|Chains A, B, E, F|Protein OPG161|Monkeypox virus (10244);9UDQ_1|Chains A[auth B], D[auth J]|Protein OPG161|Monkeypox virus (10244);9UE0_3|Chains C, D|Protein OPG161|Monkeypox virus (10244);9UE8_3|Chains C, D, G, H, K, L, O, P, S, T, W, X|Protein OPG161|Monkeypox virus (10244)",100.0,124.0
10244,10240,Q3I7G9,Protein OPG161,181,Monkeypox virus,9MSN;9MSO;9MSP;9UDQ;9UE0;9UE8,"9MSN_3|Chains C[auth E], D[auth F], G[auth J], H[auth K]|Protein OPG161|Monkeypox virus (10244);9MSO_3|Chains C[auth E], D[auth F], G, H[auth I]|Protein OPG161|Monkeypox virus (10244);9MSP_1|Chains A, B, E, F|Protein OPG161|Monkeypox virus (10244);9UDQ_1|Chains A[auth B], D[auth J]|Protein OPG161|Monkeypox virus (10244);9UE0_3|Chains C, D|Protein OPG161|Monkeypox virus (10244);9UE8_3|Chains C, D, G, H, K, L, O, P, S, T, W, X|Protein OPG161|Monkeypox virus (10244)",100.0,121.0
10244,10240,Q80KX2,Protein OPG161,181,Monkeypox virus,9MSN;9MSO;9MSP;9UDQ;9UE0;9UE8,"9MSN_3|Chains C[auth E], D[auth F], G[auth J], H[auth K]|Protein OPG161|Monkeypox virus (10244);9MSO_3|Chains C[auth E], D[auth F], G, H[auth I]|Protein OPG161|Monkeypox virus (10244);9MSP_1|Chains A, B, E, F|Protein OPG161|Monkeypox virus (10244);9UDQ_1|Chains A[auth B], D[auth J]|Protein OPG161|Monkeypox virus (10244);9UE0_3|Chains C, D|Protein OPG161|Monkeypox virus (10244);9UE8_3|Chains C, D, G, H, K, L, O, P, S, T, W, X|Protein OPG161|Monkeypox virus (10244)",100.0,122.0
619591,10240,Q8V4U4,Protein OPG161,181,Monkeypox virus (strain Zaire-96-I-16),9MSN;9MSO;9MSP;9UDQ;9UE0;9UE8,"9MSN_3|Chains C[auth E], D[auth F], G[auth J], H[auth K]|Protein OPG161|Monkeypox virus (10244);9MSO_3|Chains C[auth E], D[auth F], G, H[auth I]|Protein OPG161|Monkeypox virus (10244);9MSP_1|Chains A, B, E, F|Protein OPG161|Monkeypox virus (10244);9UDQ_1|Chains A[auth B], D[auth J]|Protein OPG161|Monkeypox virus (10244);9UE0_3|Chains C, D|Protein OPG161|Monkeypox virus (10244);9UE8_3|Chains C, D, G, H, K, L, O, P, S, T, W, X|Protein OPG161|Monkeypox virus (10244)",100.0,121.0
10244,10240,A0A0F7GB12,Truncated A-type inclusion protein,305,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),100.0,301.0
10244,10240,E2FLJ5,Cowpox A-type inclusion protein,514,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),99.73,365.0
10244,10240,M1LBH6,Truncted cowpox A-type inclusion protein,509,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),99.73,365.0
10244,10240,V9NNF4,A28L,519,Monkeypox virus,9OG1;9OG2,9OG1_1|Chain A|A28L|Monkeypox virus (10244);9OG2_1|Chain A|A28L|Monkeypox virus (10244),99.73,365.0
